row,Loan.Id,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,IntRatePrim,DebtToIncPrim,LoanPurposeRank,EmpYrs,InquiresRank,AvgIntFICO,HomeOwner,LoanLength,FICOBeg,FICOEnd,MoInc,EmpYrsMod
51,10825,8800,8799.04,10.38%,60 months,credit_card,21.59%,IL,RENT,3750,750-754,11,18694,1,2 years,10,21,2,2,B,8,0,60,750,754,3750,2
52,16667,3000,3000,17.44%,36 months,other,15.79%,MD,RENT,7952,660-664,4,12578,0,8 years,17,15,3,8,A,18,0,36,660,664,7952,8
53,92046,32000,32000,17.27%,60 months,debt_consolidation,15.61%,IL,RENT,9250,700-704,15,32566,1,2 years,17,15,1,2,B,13,0,60,700,704,9250,2
54,88279,22250,22250,21.49%,60 months,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0,9 years,21,28,1,9,A,17,0,60,665,669,4166.67,9
55,17218,7325,7300,17.80%,60 months,debt_consolidation,20.37%,NY,OWN,3000,680-684,6,13583,0,5 years,17,20,1,5,A,15,1,60,680,684,3000,5
56,82406,16450,16450,11.14%,36 months,debt_consolidation,7.57%,NC,RENT,7500,725-729,5,2928,0,1 year,11,7,1,1,A,10,0,36,725,729,7500,1
57,17143,2500,2500,12.98%,36 months,debt_consolidation,16.45%,WI,RENT,1100,670-674,6,5019,1,4 years,12,16,1,4,B,16,0,36,670,674,1100,4
58,27486,6000,6000,9.99%,36 months,other,7.50%,FL,MORTGAGE,2625,715-719,4,5167,0,10+ years,9,7,3,11,A,11,1,36,715,719,2625,11
59,96613,27575,27575,14.33%,36 months,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6,8720,0,10+ years,14,19,1,11,A,14,1,36,690,694,5166.67,11
60,6263,1000,1000,8.59%,36 months,educational,10.69%,NY,OWN,4583.33,755-759,22,17069,1,< 1 year,8,10,0,0,B,8,1,36,755,759,4583.33,0
61,29283,12000,12000,11.49%,36 months,debt_consolidation,12.85%,IL,RENT,2708.33,705-709,8,12150,1,< 1 year,11,12,1,0,B,12,0,36,705,709,2708.33,0
62,99766,30000,30000,10.16%,36 months,debt_consolidation,22.21%,SD,MORTGAGE,8000,715-719,14,33218,0,10+ years,10,22,1,11,A,11,1,36,715,719,8000,11
63,85893,13500,13500,14.33%,36 months,debt_consolidation,31.70%,WV,RENT,4166.67,680-684,11,31168,0,1 year,14,31,1,1,A,15,0,36,680,684,4166.67,1
64,98972,9000,9000,15.80%,36 months,debt_consolidation,22.65%,OH,MORTGAGE,3250,665-669,9,16480,0,3 years,15,22,1,3,A,17,1,36,665,669,3250,3
65,44054,15000,15000,9.91%,36 months,debt_consolidation,9.16%,AK,MORTGAGE,4250,730-734,11,11615,1,10+ years,9,9,1,11,B,9,1,36,730,734,4250,11
66,51948,5300,5300,7.90%,36 months,medical,12.82%,CA,RENT,5500,725-729,8,9996,2,1 year,7,12,0,1,C,10,0,36,725,729,5500,1
67,48676,7000,7000,13.11%,36 months,debt_consolidation,16.76%,NJ,RENT,3650,685-689,12,6444,1,5 years,13,16,1,5,B,14,0,36,685,689,3650,5
68,82294,20000,19975,16.29%,36 months,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10,12421,3,< 1 year,16,11,1,0,Z,14,0,36,685,689,9166.67,0
69,20328,15000,14993.57,18.25%,60 months,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4,12786,0,< 1 year,18,13,1,0,A,12,0,60,705,709,2916.67,0
70,71489,8000,8000,14.09%,36 months,home_improvement,12.06%,HI,RENT,5000,695-699,10,15360,1,6 years,14,12,4,6,B,14,0,36,695,699,5000,6
71,43203,24000,23947.48,19.03%,60 months,debt_consolidation,3.63%,CA,RENT,7500,695-699,6,8568,1,10+ years,19,3,1,11,B,14,0,60,695,699,7500,11
72,48319,7500,7500,8.90%,36 months,debt_consolidation,10.02%,DE,RENT,5500,715-719,9,2382,0,6 years,8,10,1,6,A,11,0,36,715,719,5500,6
73,5367,17000,16875,11.83%,36 months,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5,3644,1,6 years,11,12,1,6,B,9,0,36,735,739,4583.33,6
74,83768,12000,12000,17.27%,36 months,credit_card,14.86%,NJ,OWN,4583.33,665-669,12,9145,1,10+ years,17,14,2,11,B,17,1,36,665,669,4583.33,11
75,88084,6000,6000,15.31%,36 months,other,15.91%,MN,RENT,3833.33,670-674,11,5760,1,10+ years,15,15,3,11,B,16,0,36,670,674,3833.33,11
76,101540,6725,825,13.12%,36 months,debt_consolidation,13.16%,MO,MORTGAGE,5000,670-674,10,5513,9,10+ years,13,13,1,11,Z,16,1,36,670,674,5000,11
77,9664,4500,4500,6.76%,36 months,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,790-794,7,2705,0,7 years,6,14,1,7,A,7,1,36,790,794,2666.67,7
78,1494,1600,1600,10.83%,36 months,other,5.36%,RI,RENT,2427,700-704,5,7020,0,3 years,10,5,3,3,A,13,0,36,700,704,2427,3
79,61703,10000,10000,17.77%,36 months,wedding,30.40%,NY,OWN,2500,665-669,5,8379,0,8 years,17,30,0,8,A,17,1,36,665,669,2500,8
80,61576,18550,18525,7.90%,36 months,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10,28877,0,3 years,7,16,1,3,A,10,1,36,725,729,5416.67,3
81,21993,7450,7450,13.06%,36 months,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2,6416,1,10+ years,13,3,1,11,B,12,1,36,710,714,5883.33,11
82,58359,3225,3225,7.62%,36 months,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5,70323,1,10+ years,7,17,1,11,B,8,1,36,760,764,5833.33,11
83,67335,23675,23675,17.77%,36 months,credit_card,29.94%,PA,OWN,6399,680-684,21,21920,0,10+ years,17,29,2,11,A,15,1,36,680,684,6399,11
84,57080,12000,12000,12.12%,36 months,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0,10+ years,12,18,1,11,A,14,0,36,690,694,5833.33,11
85,30035,25000,25000,16.49%,36 months,debt_consolidation,18.18%,MA,RENT,6000,695-699,9,10630,2,7 years,16,18,1,7,C,14,0,36,695,699,6000,7
86,103948,16000,15850,11.12%,36 months,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7,18659,4,5 years,11,17,2,5,Z,10,1,36,725,729,6666.67,5
87,96659,4200,4175,8.90%,36 months,car,10.16%,NC,MORTGAGE,3041.67,810-814,4,1548,0,10+ years,8,10,0,11,A,8,1,36,810,814,3041.67,11
88,67158,10000,10000,14.09%,36 months,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11,8548,0,6 years,14,21,1,6,A,15,0,36,675,679,4583.33,6
89,33777,6000,6000,7.51%,36 months,home_improvement,2.52%,NJ,MORTGAGE,4800,750-754,4,1442,0,10+ years,7,2,4,11,A,8,1,36,750,754,4800,11
90,59724,6000,6000,13.11%,36 months,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2,2 years,13,15,1,2,C,14,0,36,685,689,3333.33,2
91,95096,7925,7925,16.29%,36 months,debt_consolidation,21.25%,GA,RENT,2000,665-669,6,7840,0,6 years,16,21,1,6,A,17,0,36,665,669,2000,6
92,67629,16000,15925,7.62%,36 months,debt_consolidation,6.48%,IL,MORTGAGE,6000,765-769,8,19539,0,n/a,7,6,1,n/a,A,7,1,36,765,769,6000,-1
93,51929,9525,9500,15.81%,36 months,small_business,11.35%,CA,RENT,2666.67,670-674,15,5610,1,n/a,15,11,0,n/a,B,16,0,36,670,674,2666.67,-1
94,13216,6000,6000,14.35%,36 months,debt_consolidation,14.08%,IL,MORTGAGE,2500,675-679,9,3621,3,< 1 year,14,14,1,0,Z,15,1,36,675,679,2500,0
95,103405,10000,9975,14.96%,36 months,debt_consolidation,11.50%,FL,MORTGAGE,5250,675-679,4,3035,5,2 years,14,11,1,2,Z,15,1,36,675,679,5250,2
96,53271,7000,7000,6.62%,36 months,major_purchase,8.03%,NM,MORTGAGE,10000,750-754,9,6761,1,6 years,6,8,5,6,B,8,1,36,750,754,10000,6
97,25380,4500,4500,5.99%,36 months,debt_consolidation,18.48%,CA,MORTGAGE,10000,765-769,18,17863,3,6 years,5,18,1,6,Z,7,1,36,765,769,10000,6
98,6987,12000,12000,11.14%,36 months,debt_consolidation,2.37%,MD,MORTGAGE,12500,735-739,13,10944,0,5 years,11,2,1,5,A,9,1,36,735,739,12500,5
99,96413,10375,10375,19.72%,36 months,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1,5 years,19,4,1,5,B,17,0,36,665,669,4166.67,5
100,88273,4800,4800,18.75%,36 months,other,10.89%,NM,MORTGAGE,5833.33,670-674,8,17943,0,10+ years,18,10,3,11,A,16,1,36,670,674,5833.33,11
101,48519,6400,6400,13.11%,36 months,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7,8942,1,10+ years,13,11,2,11,B,13,1,36,700,704,4666.67,11
102,69456,5000,5000,7.90%,36 months,debt_consolidation,17.22%,CA,OWN,4000,705-709,10,6023,0,10+ years,7,17,1,11,A,12,1,36,705,709,4000,11
103,41198,12000,12000,6.62%,36 months,credit_card,21.66%,NC,RENT,5250,740-744,11,20639,0,< 1 year,6,21,2,0,A,9,0,36,740,744,5250,0
104,44282,23850,23820.25,21.48%,60 months,other,18.75%,NY,MORTGAGE,4250,690-694,23,37251,0,4 years,21,18,3,4,A,14,1,60,690,694,4250,4
105,34122,15000,15000,10.65%,36 months,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years,10,16,0,9,C,11,1,36,720,724,7083.33,9
106,84563,8000,8000,7.62%,36 months,other,0%,NC,MORTGAGE,3500,765-769,7,0,1,n/a,7,0,3,n/a,B,7,1,36,765,769,3500,-1
107,98634,20000,20000,6.03%,36 months,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9,29044,0,7 years,6,18,2,7,A,11,1,36,715,719,14583.33,7
108,73526,20000,19975,13.11%,36 months,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17,29756,2,< 1 year,13,15,1,0,C,12,0,36,710,714,8233.33,0
109,82476,10000,10000,14.09%,36 months,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3,< 1 year,14,10,1,0,Z,14,0,36,690,694,2916.67,0
110,67263,18825,18825,14.09%,36 months,credit_card,13.08%,MI,RENT,4000,710-714,6,20694,1,4 years,14,13,2,4,B,12,0,36,710,714,4000,4
111,41267,35000,34975,7.90%,36 months,small_business,1.59%,IL,RENT,18333.33,775-779,10,1992,0,1 year,7,1,0,1,A,8,0,36,775,779,18333.33,1
112,64884,9000,9000,6.03%,36 months,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11,675,0,n/a,6,5,0,n/a,A,6,1,36,815,819,9583.33,-1
113,18452,4000,4000,6.17%,36 months,home_improvement,15%,CT,RENT,4234,745-749,5,587,1,2 years,6,15,4,2,B,9,0,36,745,749,4234,2
114,57866,5750,5750,13.99%,36 months,credit_card,12.44%,CA,RENT,5000,660-664,13,12465,0,10+ years,13,12,2,11,A,18,0,36,660,664,5000,11
115,77151,20950,20950,15.80%,36 months,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8,30188,1,4 years,15,15,1,4,B,14,1,36,690,694,12916.67,4
116,25405,8000,8000,10.99%,36 months,credit_card,14.76%,NY,RENT,7500,710-714,9,7120,2,< 1 year,10,14,2,0,C,12,0,36,710,714,7500,0
117,85644,10000,10000,10.16%,36 months,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8,8940,2,n/a,10,9,1,n/a,C,10,1,36,725,729,3333.33,-1
118,85686,10000,10000,14.09%,36 months,small_business,14.76%,NY,RENT,5000,675-679,7,4762,0,4 years,14,14,0,4,A,15,0,36,675,679,5000,4
119,54649,14000,14000,6.03%,36 months,credit_card,19.53%,CT,MORTGAGE,6000,765-769,13,4140,0,8 years,6,19,2,8,A,7,1,36,765,769,6000,8
120,19069,5000,5000,7.66%,36 months,credit_card,3.33%,RI,RENT,9000,735-739,3,12297,0,10+ years,7,3,2,11,A,9,0,36,735,739,9000,11
121,74479,25000,25000,19.05%,60 months,debt_consolidation,10.53%,IL,MORTGAGE,6250,700-704,8,15159,1,9 years,19,10,1,9,B,13,1,60,700,704,6250,9
122,76693,35000,35000,8.90%,36 months,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9,21321,0,10+ years,8,14,1,11,A,9,0,36,735,739,10416.67,11
123,63266,7200,7175,11.14%,36 months,debt_consolidation,27.89%,OK,MORTGAGE,3750,690-694,8,20342,0,10+ years,11,27,1,11,A,14,1,36,690,694,3750,11
124,32008,14000,14000,8.49%,60 months,debt_consolidation,9.89%,CA,MORTGAGE,9000,760-764,17,23773,0,4 years,8,9,1,4,A,8,1,60,760,764,9000,4
125,13996,15000,14975,15.21%,36 months,debt_consolidation,19.10%,TX,RENT,5132,680-684,4,34044,1,3 years,15,19,1,3,B,15,0,36,680,684,5132,3
126,80638,25000,25000,19.72%,60 months,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21,35208,1,7 years,19,32,1,7,B,14,1,60,695,699,4916.67,7
127,36889,10800,10800,14.65%,36 months,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6,6487,1,< 1 year,14,7,1,0,B,15,0,36,675,679,9583.33,0
128,72169,20000,20000,14.33%,36 months,credit_card,21.44%,GA,MORTGAGE,6250,700-704,9,14268,1,9 years,14,21,2,9,B,13,1,36,700,704,6250,9
129,19548,4000,4000,10.74%,36 months,debt_consolidation,1.97%,KS,RENT,2900,695-699,13,1869,1,n/a,10,1,1,n/a,B,14,0,36,695,699,2900,-1
130,103357,16000,15950,15.70%,36 months,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years,15,23,1,11,Z,15,1,36,675,679,9333.33,11
131,59117,1400,1400,9.76%,36 months,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6,6466,0,2 years,9,27,0,2,A,9,1,36,730,734,4683.33,2
132,15427,7500,7500,16.32%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4600,665-669,3,6120,0,2 years,16,12,1,2,A,17,1,36,665,669,4600,2
133,224,24625,917.28,14.07%,36 months,credit_card,12.81%,NY,MORTGAGE,10000,675-679,14,33698,0,8 years,14,12,2,8,A,15,1,36,675,679,10000,8
134,85618,5000,5000,14.09%,36 months,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11,3977,1,< 1 year,14,29,1,0,B,15,1,36,680,684,5416.67,0
135,43436,25000,24975,9.91%,36 months,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14,27203,0,1 year,9,20,1,1,A,10,0,36,725,729,7916.67,1
136,19328,7500,7500,16.40%,36 months,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0,< 1 year,16,13,1,0,A,18,0,36,660,664,4166.67,0
137,65134,34500,34450,6.62%,36 months,small_business,16.46%,CA,MORTGAGE,10000,805-809,8,5317,0,9 years,6,16,0,9,A,7,1,36,805,809,10000,9
138,20263,10000,10000,5.79%,36 months,debt_consolidation,6.49%,GA,MORTGAGE,12500,745-749,17,75629,0,1 year,5,6,1,1,A,9,1,36,745,749,12500,1
139,9194,3200,3200,9.88%,36 months,debt_consolidation,6.51%,MA,RENT,4500,740-744,7,3198,0,5 years,9,6,1,5,A,9,0,36,740,744,4500,5
140,27520,5500,5500,15.99%,60 months,debt_consolidation,17.95%,RI,RENT,4250,700-704,16,13256,0,10+ years,15,17,1,11,A,13,0,60,700,704,4250,11
141,45941,3000,3000,9.76%,36 months,debt_consolidation,21.82%,VA,OWN,1100,720-724,4,2413,0,n/a,9,21,1,n/a,A,11,1,36,720,724,1100,-1
142,69242,18000,18000,23.28%,60 months,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0,10+ years,23,9,1,11,A,18,0,60,660,664,7083.33,11
143,2633,10000,9700,9.63%,36 months,debt_consolidation,13.77%,OK,MORTGAGE,4190,735-739,6,1251,1,< 1 year,9,13,1,0,B,9,1,36,735,739,4190,0
144,48662,8800,8800,13.11%,36 months,credit_card,16.73%,WI,RENT,3150.25,700-704,13,14266,1,4 years,13,16,2,4,B,13,0,36,700,704,3150.25,4
145,65775,7000,7000,11.14%,36 months,debt_consolidation,23.02%,TX,MORTGAGE,6000,705-709,17,19634,2,6 years,11,23,1,6,C,12,1,36,705,709,6000,6
146,92773,8000,8000,13.11%,36 months,debt_consolidation,19.01%,AK,RENT,2625,725-729,8,7554,1,5 years,13,19,1,5,B,10,0,36,725,729,2625,5
147,33161,3000,3000,17.27%,36 months,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0,n/a,17,16,2,n/a,A,18,0,36,660,664,3833.33,-1
148,37985,12000,11975,7.51%,36 months,debt_consolidation,11.91%,MD,RENT,7500,735-739,18,33702,1,10+ years,7,11,1,11,B,9,0,36,735,739,7500,11
149,2791,3600,3575,14.11%,36 months,small_business,0.04%,WI,RENT,2500,725-729,4,1,0,3 years,14,0,0,3,A,10,0,36,725,729,2500,3
150,81950,11625,11625,14.33%,36 months,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6,27411,2,8 years,14,22,1,8,C,12,1,36,705,709,2833.33,8
151,84215,30000,30000,21.49%,36 months,credit_card,16.70%,MD,MORTGAGE,12500,670-674,14,19096,2,9 years,21,16,2,9,C,16,1,36,670,674,12500,9
152,93352,16000,16000,8.90%,36 months,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11,6185,1,4 years,8,19,1,4,B,11,0,36,720,724,7083.33,4
153,10474,10800,10700,10.75%,36 months,major_purchase,15.32%,FL,MORTGAGE,8400,715-719,6,24675,0,10+ years,10,15,5,11,A,11,1,36,715,719,8400,11
154,15717,25000,23655.48,16.69%,60 months,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15,28748,3,8 years,16,14,1,8,Z,12,1,60,705,709,7666.67,8
155,103874,10000,10000,13.98%,60 months,other,14.86%,MO,RENT,3916.67,710-714,9,5188,4,4 years,13,14,3,4,Z,12,0,60,710,714,3916.67,4
156,132,12375,275,10.91%,36 months,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11,8332,2,3 years,10,16,0,3,C,14,1,36,690,694,3892.75,3
157,5169,6000,6000,11.48%,36 months,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9,50935,0,10+ years,11,18,2,11,A,12,1,36,705,709,5031.67,11
